ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
1,205792,ART0715 - صياغة المجوهرات | Bijouterie orfèvrerie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-08-22
2,206003,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
3,206008,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-06-22
4,206290,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-08-22
5,206350,CML0701 - تلحيم | Soudage,ش.ك.م | CAP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2026-02-22
6,206688,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2025-06-22
7,206704,"MES01Q - قص و تجفيف الشعر | Coupe, Mise en plis et brushing",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2025-06-22
8,206815,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1914 | مركز التكوين المهني و التمهين للبنات بسطيف  | سطيف_سطيف,undefined,2025-02-23,2026-08-22
9,206787,BAM0704 - نجارة الأثاث | Ebénisterie,ش.ت.م | CMP,الطور المتوسط | CYCLE MOYEN,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2026-08-22
10,207017,"MES02Q - صبغ الشعر، إزالة الصبغة و تجعيد الشعر | Coloration, Décoloration, Permanente et Défrisage",ش.تأهيل.م | CQP,الطور المتوسط | CYCLE MOYEN,تأهيلي أولي | QUALIFIANTE INITIALE,التكوين التأهيلي الأولي، هو تكوين قصير المدى يهدف إلى إكتساب كفاءات خاصة ، تسمح لطالبي التكوين من الحصول على تأهيل أولي يمكّنه من الإندماج الإجتماعي المهني أو إنشاء مؤسسته المصغرة.,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2025-06-22
